Name	p-value
H+[m]	0
H+[i]	0
ubiquinol[m]	7.1942E-14
ubiquinone[m]	7.1942E-14
NADH[m]	2.5363E-09
3-keto-4-methylzymosterol[c]	4.427E-09
4alpha-methyl-5alpha-cholesta-8-en-3-one[c]	4.427E-09
5alpha-cholesta-8,24-dien-3-one[c]	4.427E-09
5alpha-cholesta-8-en-3-one[c]	4.427E-09
heme[c]	1.5947E-08
NAD+[m]	1.9926E-08
protoporphyrin[c]	2.097E-08
protoporphyrinogen-IX[m]	2.097E-08
16alpha-hydroxydehydroepiandrosterone[r]	1.6323E-07
androsterone[r]	1.6323E-07
4alpha-methylzymosterol[r]	1.6323E-07
H+[c]	2.5548E-07
Pi[m]	2.1459E-06
cholestenol[c]	2.5637E-06
zymosterol[c]	2.5637E-06
H2O[c]	4.4035E-06
GSH[c]	6.2069E-06
ADP[c]	6.2719E-06
protoporphyrinogen-IX[c]	6.9158E-06
H2O[m]	9.0304E-06
ATP[c]	1.4162E-05
heparan-sulfate,-degradation-product-5[l]	2.3568E-05
heme[m]	2.9227E-05
isopentenyl-pPP[p]	2.924E-05
heparan-sulfate,-degradation-product-17[l]	3.0648E-05
heparan-sulfate,-degradation-product-23[l]	3.0648E-05
fumarate[m]	3.5329E-05
ADP[m]	3.567E-05
ferricytochrome-C[m]	3.7529E-05
ferrocytochrome-C[m]	3.7529E-05
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)[r]	6.2179E-05
(R)-3-hydroxybutanoyl-CoA[m]	7.4522E-05
Hexadecanedioyl-Coenzyme-A[p]	7.4522E-05
Hexadecanedioyl-Coenzyme-A[r]	7.4522E-05
3-Hydroxyisovaleryl-Coenzyme-A[m]	7.4522E-05
GSH[m]	8.2773E-05
protoporphyrin[m]	0.00010441
dimethylallyl-PP[p]	0.00013765
glutaryl-CoA[m]	0.0001467
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate[m]	0.00015697
L-erythro-4-hydroxyglutamate[m]	0.00015714
4alpha-methyl-cholesta-8-enol[c]	0.00020044
4alpha-methylzymosterol[c]	0.00020044
3-keto-4-methylzymosterol[r]	0.00020044
phosphoprotein[c]	0.00023159
2-Methyl-3-Oxo-Valeryl-Coenzyme-A[m]	0.00026524
heparan-sulfate,-degradation-product-4[l]	0.00027228
hepoxilin-A3[c]	0.00029624
hepoxilin-A3[p]	0.00029624
Galactosyl-Glucosyl-Ceramide[l]	0.00036321
malate[m]	0.00042595
homocysteine-thiolactone[c]	0.00046985
[protein][c]	0.00059082
O2[r]	0.00059962
succinyl-CoA[m]	0.00062826
trans,cis,cis-2,11,14-eicosatrienoyl-CoA[c]	0.00064953
squalene[c]	0.00066717
squalene[r]	0.00066717
presqualene-PP[c]	0.00067871
farnesyl-PP[r]	0.00067871
oxalosuccinate[c]	0.00073885
oxalosuccinate[m]	0.00073885
oxalosuccinate[p]	0.00073885
AKG[m]	0.00080046
ATP[m]	0.0008507
3-sulfopyruvate[c]	0.00086715
NADP+[c]	0.00094311
acetoacetyl-CoA[c]	0.00099146
acetoacetyl-CoA[p]	0.00099146
GM2[l]	0.0010043
malate[c]	0.0010203
dihydrolipoamide[m]	0.0010211
farnesyl-PP[p]	0.0010716
Ganglioside-Gm1[l]	0.001138
GA1[l]	0.001138
LacCer-pool[c]	0.0011768
(2E)-docosenoyl-CoA[c]	0.0011909
(2E)-eicosenoyl-CoA[c]	0.0011909
(2E)-heneicosenoyl-CoA[c]	0.0011909
(2E)-hexacosenoyl-CoA[c]	0.0011909
(2E)-nonadecenoyl-CoA[c]	0.0011909
(2E)-tetracosenoyl-CoA[c]	0.0011909
(2E)-tricosenoyl-CoA[c]	0.0011909
2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA[c]	0.0011909
2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA[c]	0.0011909
2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA[c]	0.0011909
eicosa-(2E,8Z,11Z,14Z,17Z)-pentaenoyl-CoA[c]	0.0011909
trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA[c]	0.0011909
trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA[c]	0.0011909
trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA[c]	0.0011909
trans,cis,cis,cis-2,11,14,17-eicosatetraenoyl-CoA[c]	0.0011909
trans,cis,cis,cis-2,13,16,19-docosatetraenoyl-CoA[c]	0.0011909
trans,cis,cis-2,13,16-docasatrienoyl-CoA[c]	0.0011909
trans,cis-2,11-docosadienoyl-CoA[c]	0.0011909
trans,cis-2,11-eicosadienoyl-CoA[c]	0.0011909
trans,cis-2,13-docosadienoyl-CoA[c]	0.0011909
trans,cis-2,13-eicosadienoyl-CoA[c]	0.0011909
trans,cis-2,15-tetracosadienoyl-CoA[c]	0.0011909
trans,cis-2,17-hexacosadienoyl-CoA[c]	0.0011909
trans,cis-2,8,11-eicosatrienoyl-CoA[c]	0.0011909
trans,cis-2,9-eicosadienoyl-CoA[c]	0.0011909
NH3[c]	0.0012118
keratan-sulfate-I,-degradation-product-12[l]	0.0012223
keratan-sulfate-I,-degradation-product-15[l]	0.0012223
keratan-sulfate-I,-degradation-product-18[l]	0.0012223
keratan-sulfate-I,-degradation-product-21[l]	0.0012223
keratan-sulfate-I,-degradation-product-24[l]	0.0012223
keratan-sulfate-I,-degradation-product-27[l]	0.0012223
keratan-sulfate-I,-degradation-product-30[l]	0.0012223
keratan-sulfate-I,-degradation-product-33[l]	0.0012223
keratan-sulfate-I,-degradation-product-36[l]	0.0012223
keratan-sulfate-I,-degradation-product-6[l]	0.0012223
keratan-sulfate-I,-degradation-product-9[l]	0.0012223
keratan-sulfate-II-(core-2-linked),-degradation-product-3[l]	0.0012223
keratan-sulfate-II-(core-2-linked),-degradation-product-6[l]	0.0012223
keratan-sulfate-II-(core-4-linked),-degradation-product-3[l]	0.0012223
Fe3+[s]	0.0012229
D-galactosyl-N-acylsphingosine[g]	0.001236
digalactosylceramide[g]	0.001236
UDP-galactose[c]	0.0013066
GA2[l]	0.0013919
D-galactosyl-N-acylsphingosine[c]	0.0015608
mannose[g]	0.001656
12-oxo-c-LTB3[r]	0.0016838
9-deoxy-delta12-PGD2[c]	0.0016838
delta-12-prostaglandin-J2[c]	0.0016838
GSH[p]	0.0016838
GSH[r]	0.0016838
hepoxilin-A3-c[c]	0.0016838
hepoxilin-A3-c[p]	0.0016838
prostaglandin-J2[c]	0.0016838
S-(9-deoxy-delta12-PGD2)-glutathione[c]	0.0016838
S-(9-deoxy-delta9,12-PGD2)-glutathione[c]	0.0016838
S-(PGA1)-glutathione[c]	0.0016838
S-(PGA2)-glutathione[c]	0.0016838
S-(PGJ2)-glutathione[c]	0.0016838
Pi[c]	0.0016861
CO2[c]	0.0017987
prostaglandin-A1[c]	0.0019958
prostaglandin-A2[c]	0.0019958
L-iduronic-acid[l]	0.0022167
carbonate[c]	0.0024545
carbonate[s]	0.0024545
NAD+[r]	0.0025491
NADH[r]	0.0025491
prostaglandin-H2[r]	0.0027298
NADPH[c]	0.0027376
UDP-N-acetylglucosamine[g]	0.0027498
CO2[m]	0.0027728
galactose[l]	0.0027856
core-6[l]	0.0027903
keratan-sulfate-II-(core-2-linked)[l]	0.0027903
keratan-sulfate-II-(core-4-linked)[l]	0.0027903
lauric-acid[s]	0.0028039
(S)-3-hydroxytetradecanoyl-CoA[m]	0.0028079
5alpha-cholesta-7,24-dien-3beta-ol[c]	0.0028593
lathosterol[c]	0.0028593
5alpha-cholesta-7,24-dien-3beta-ol[r]	0.0028593
UDP-galactose[g]	0.0030447
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)-(B1)[g]	0.0031928
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)-(C)[g]	0.0031928
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)-(B2)[g]	0.0031928
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)-(C)[g]	0.0031928
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,-isoform-A-(protein)[g]	0.0031928
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,-isoform-B-(protein)[g]	0.0031928
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,-isoform-B-(protein)[r]	0.0031928
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)[g]	0.0031928
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)[r]	0.0031928
glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)[r]	0.0031928
glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,-isoform-B-(protein)[r]	0.0031928
glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,-isoform-C-(protein)[r]	0.0031928
mannose[r]	0.0031928
[protein]-L-asparagine[r]	0.003303
H2O[g]	0.0033226
GSSG[s]	0.0033601
S-glutaryldihydrolipoamide[m]	0.003391
S-succinyldihydrolipoamide[m]	0.003391
glutamate[c]	0.0038713
5,6-Dihydrouracil[c]	0.0038969
farnesyl-PP[c]	0.0039053
THF[c]	0.0039188
dihydrothymine[c]	0.0039959
Fe2+[s]	0.0040782
glucosylceramide-pool[r]	0.0041695
H2O2[s]	0.0042149
GSSG[c]	0.0042601
GSSG[m]	0.0042601
GSH[s]	0.0042853
L-4-hydroxyglutamate-semialdehyde[m]	0.0042868
L-glutamate-5-semialdehyde[c]	0.0042868
UDP-galactose[r]	0.0044095
PC-LD-pool[r]	0.004548
PGH3[c]	0.0046657
PGH3[n]	0.0046657
isocitrate[m]	0.0048441
estradiol-17beta[c]	0.0050372
estradiol-17beta[r]	0.0050372
estrone[r]	0.0050372
(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)[g]	0.0051126
digalactosylceramide[c]	0.0051575
LacCer-pool[r]	0.0051575
2-oxoadipate[m]	0.0053584
S-acetyldihydrolipoamide[m]	0.0056355
OAA[c]	0.0057236
ethanolamine[c]	0.0058757
dopamine-O-quinone[c]	0.0064486
chondroitin-sulfate-C-(GalNAc6S-GlcA),-degradation-product-1[l]	0.0066173
chondroitin-sulfate-C-(GalNAc6S-GlcA),-degradation-product-4[l]	0.0066173
chondroitin-sulfate-C-(GalNAc6S-GlcA),-free-chain[l]	0.0066173
chondroitin-sulfate-D-(GlcNAc6S-GlcA2S),-degradation-product-1[l]	0.0066173
chondroitin-sulfate-D-(GlcNAc6S-GlcA2S),-degradation-product-5[l]	0.0066173
chondroitin-sulfate-D-(GlcNAc6S-GlcA2S),-free-chain[l]	0.0066173
chondroitin-sulfate-E-(GalNAc4,6diS-GlcA),-degradation-product-2[l]	0.0066173
F1alpha[l]	0.0066173
keratan-sulfate-I,-degradation-product-11[l]	0.0066173
keratan-sulfate-I,-degradation-product-14[l]	0.0066173
keratan-sulfate-I,-degradation-product-17[l]	0.0066173
keratan-sulfate-I,-degradation-product-20[l]	0.0066173
keratan-sulfate-I,-degradation-product-23[l]	0.0066173
keratan-sulfate-I,-degradation-product-26[l]	0.0066173
keratan-sulfate-I,-degradation-product-29[l]	0.0066173
keratan-sulfate-I,-degradation-product-32[l]	0.0066173
keratan-sulfate-I,-degradation-product-35[l]	0.0066173
keratan-sulfate-I,-degradation-product-38[l]	0.0066173
keratan-sulfate-I,-degradation-product-39[l]	0.0066173
keratan-sulfate-I,-degradation-product-40[l]	0.0066173
keratan-sulfate-I,-degradation-product-41[l]	0.0066173
keratan-sulfate-I,-degradation-product-8[l]	0.0066173
keratan-sulfate-II-(core-2-linked),-degradation-product-5[l]	0.0066173
keratan-sulfate-II-(core-2-linked),-degradation-product-8[l]	0.0066173
keratan-sulfate-II-(core-2-linked),-degradation-product-9[l]	0.0066173
n2m2mn[l]	0.0066173
(2E)-octadecenoyl-CoA[c]	0.0067129
dolichyl-diphosphate[r]	0.0068684
sulfate[l]	0.0069569
CO2[p]	0.0074021
prostaglandin-E2[r]	0.0075057
prostaglandin-E3[c]	0.0075057
prostaglandin-E3[n]	0.0075057
4-hydroxy-2-oxoglutarate[m]	0.0077051
4-hydroxyphenylpyruvate[c]	0.0077051
prostaglandin-I2[r]	0.0077067
H2O[s]	0.0077379
12(S)-HPETE[c]	0.0077498
12(S)-HPETE[p]	0.0077498
12(S)-HPETE[r]	0.0077498
12(S)-HPETE[s]	0.0077498
13(S)-HODE[c]	0.0077498
13(S)-HPODE[c]	0.0077498
5(S)-HPETE[c]	0.0077498
5(S)-HPETE[m]	0.0077498
hepoxilin-A3[s]	0.0077498
3,4-dihydroxymandelaldehyde[c]	0.0079715
H2O[l]	0.0081769
AKG[c]	0.0082158
3-Hydroxy-Tetradecenoyl-7-Coenzyme-A[m]	0.0086686
3-Hydroxy-Trans5,8Tetradecadienoyl-Coenzyme-A[m]	0.0086686
3-Hydroxy-Trans7,10-Hexadecadienoyl-Coenzyme-A[m]	0.0086686
3-Hydroxyhexadecenoyl-Coenzyme-A[m]	0.0086686
3-Hydroxyhexadecanoyl-Coenzyme-A[m]	0.0086686
3-Hydroxyoctadecadienoyl-Coenzyme-A[m]	0.0086686
(S)-3-Hydroxyoctadecanoyl-Coenzyme-A[m]	0.0086686
H+[l]	0.008807
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine-(protein)[r]	0.0089029
5(S)-HETE[m]	0.0089168
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	0.00897
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c]	0.00897
4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c]	0.00897
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol[c]	0.00897
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[r]	0.00897
GM3[l]	0.0090449
hexanoyl-CoA[c]	0.0092642
succinyl-CoA[c]	0.0092642
tiglyl-CoA[c]	0.0092642
(R)-3-hydroxybutanoyl-CoA[c]	0.0092642
(S)-hydroxydecanoyl-CoA[c]	0.0092642
(S)-3-hydroxydodecanoyl-CoA[c]	0.0092642
3-Hydroxy-Tetradecenoyl-7-Coenzyme-A[c]	0.0092642
3-Hydroxy-Trans5,8Tetradecadienoyl-Coenzyme-A[c]	0.0092642
(S)-3-hydroxytetradecanoyl-CoA[c]	0.0092642
3-Hydroxyhexadecenoyl-Coenzyme-A[c]	0.0092642
3-Hydroxy-Trans7,10-Hexadecadienoyl-Coenzyme-A[c]	0.0092642
Hexadecanedioyl-Coenzyme-A[c]	0.0092642
3-Hydroxyhexadecanoyl-Coenzyme-A[c]	0.0092642
3-Hydroxyoctadecadienoyl-Coenzyme-A[c]	0.0092642
(S)-3-Hydroxyoctadecanoyl-Coenzyme-A[c]	0.0092642
isovaleryl-CoA[c]	0.0092642
glutaryl-CoA[c]	0.0092642
3-Hydroxyisovaleryl-Coenzyme-A[c]	0.0092642
2-bromoacetaldehyde[c]	0.009268
chondroitin-sulfate-E-(GalNAc4,6diS-GlcA),-degradation-product-1[l]	0.009709
3-methoxy-4-hydroxyphenylacetaldehyde[c]	0.009982
3-methoxy-4-hydroxyphenylglycolaldehyde[c]	0.009982
4-hydroxyphenylacetaldehyde[c]	0.009982
methylamine[c]	0.009982
methylimidazole-acetaldehyde[c]	0.009982
FMN[c]	0.010554
SAM[m]	0.010572
12-keto-LTB4[r]	0.010624
12-oxo-c-LTB3[c]	0.010624
12-oxo-c-LTB3[m]	0.010624
12-oxo-c-LTB3[p]	0.010624
HMG-CoA[c]	0.01074
17beta-estradiol-2,3-quinone[c]	0.011028
17beta-estradiol-2,3-quinone[m]	0.011028
17beta-estradiol-2,3-quinone[p]	0.011028
17beta-estradiol-2,3-quinone[r]	0.011028
